S  | Repository | Name                              | Version                       | Arch
---+------------+-----------------------------------+-------------------------------+-------
i+ | @System    | aaa_base                          | 84.87+git20230329.b39efbc-1.3 | x86_64
i+ | @System    | bash                              | 5.2.15-8.5                    | x86_64
i  | @System    | bash-sh                           | 5.2.15-8.5                    | noarch
i  | @System    | boost-license1_82_0               | 1.82.0-1.4                    | noarch
i+ | @System    | ca-certificates                   | 2+git20230406.2dae8b7-1.2     | noarch
i+ | @System    | ca-certificates-mozilla           | 2.60-3.1                      | noarch
i  | @System    | chkstat                           | 1699_20230602-1.6             | x86_64
i+ | @System    | coreutils                         | 9.3-1.4                       | x86_64
i+ | @System    | cracklib-dict-small               | 2.9.11-1.2                    | x86_64
i  | @System    | crypto-policies                   | 20230614.5f3458e-1.3          | noarch
i+ | @System    | curl                              | 8.2.1-1.2                     | x86_64
i  | @System    | file-magic                        | 5.45-1.3                      | noarch
i+ | @System    | filesystem                        | 84.87-12.1                    | x86_64
i  | @System    | fillup                            | 1.42-279.4                    | x86_64
i  | @System    | findutils                         | 4.9.0-2.5                     | x86_64
i+ | @System    | glibc                             | 2.38-1.1                      | x86_64
i+ | @System    | glibc-locale-base                 | 2.38-1.1                      | x86_64
i  | @System    | gpg2                              | 2.3.8-3.2                     | x86_64
i  | @System    | grep                              | 3.11-1.3                      | x86_64
i+ | @System    | gzip                              | 1.12-3.5                      | x86_64
i  | @System    | krb5                              | 1.21.1-1.2                    | x86_64
i  | @System    | libabsl2301_0_0                   | 20230125.3-2.2                | x86_64
i  | @System    | libacl1                           | 2.3.1-2.11                    | x86_64
i  | @System    | libassuan0                        | 2.5.6-1.2                     | x86_64
i  | @System    | libattr1                          | 2.5.1-1.27                    | x86_64
i  | @System    | libaudit1                         | 3.1.1-1.3                     | x86_64
i  | @System    | libaugeas0                        | 1.13.0-2.3                    | x86_64
i  | @System    | libblkid1                         | 2.39.1-3.3                    | x86_64
i  | @System    | libboost_thread1_82_0             | 1.82.0-1.4                    | x86_64
i  | @System    | libbrotlicommon1                  | 1.0.9-3.5                     | x86_64
i  | @System    | libbrotlidec1                     | 1.0.9-3.5                     | x86_64
i  | @System    | libbz2-1                          | 1.0.8-5.7                     | x86_64
i  | @System    | libcap-ng0                        | 0.8.3-2.4                     | x86_64
i  | @System    | libcap2                           | 2.69-1.4                      | x86_64
i  | @System    | libcom_err2                       | 1.47.0-1.3                    | x86_64
i  | @System    | libcrypt1                         | 4.4.36-1.3                    | x86_64
i  | @System    | libcurl4                          | 8.2.1-1.2                     | x86_64
i  | @System    | libeconf0                         | 0.5.2-1.5                     | x86_64
i  | @System    | libfa1                            | 1.13.0-2.3                    | x86_64
i  | @System    | libfdisk1                         | 2.39.1-3.3                    | x86_64
i  | @System    | libffi8                           | 3.4.4-1.5                     | x86_64
i  | @System    | libgcc_s1                         | 13.2.1+git7683-1.3            | x86_64
i  | @System    | libgcrypt20                       | 1.10.2-2.4                    | x86_64
i  | @System    | libglib-2_0-0                     | 2.76.4-1.2                    | x86_64
i  | @System    | libgmp10                          | 6.3.0-1.3                     | x86_64
i  | @System    | libgpg-error0                     | 1.47-1.4                      | x86_64
i  | @System    | libgpgme11                        | 1.21.0-2.2                    | x86_64
i  | @System    | libidn2-0                         | 2.3.4-1.4                     | x86_64
i  | @System    | libkeyutils1                      | 1.6.3-6.3                     | x86_64
i  | @System    | libksba8                          | 1.6.4-1.2                     | x86_64
i  | @System    | libldap2                          | 2.6.4-2.3                     | x86_64
i  | @System    | liblua5_4-5                       | 5.4.6-1.4                     | x86_64
i  | @System    | liblz4-1                          | 1.9.4-2.6                     | x86_64
i  | @System    | liblzma5                          | 5.4.4-1.3                     | x86_64
i  | @System    | libmagic1                         | 5.45-1.3                      | x86_64
i  | @System    | libmount1                         | 2.39.1-3.3                    | x86_64
i  | @System    | libncurses6                       | 6.4.20230715-17.3             | x86_64
i  | @System    | libnghttp2-14                     | 1.55.1-1.2                    | x86_64
i  | @System    | libnpth0                          | 1.6-2.11                      | x86_64
i  | @System    | libnss_usrfiles2                  | 2.27-3.15                     | x86_64
i  | @System    | libopenssl3                       | 3.1.2-1.3                     | x86_64
i  | @System    | libp11-kit0                       | 0.24.1-2.4                    | x86_64
i  | @System    | libpcre2-8-0                      | 10.42-3.11                    | x86_64
i  | @System    | libpopt0                          | 1.19-1.5                      | x86_64
i  | @System    | libprocps8                        | 3.3.17-12.4                   | x86_64
i  | @System    | libprotobuf-lite23_4_0            | 23.4-6.2                      | x86_64
i  | @System    | libproxy1                         | 0.4.18-2.2                    | x86_64
i  | @System    | libpsl5                           | 0.21.2-1.4                    | x86_64
i  | @System    | libreadline8                      | 8.2-2.5                       | x86_64
i  | @System    | libsasl2-3                        | 2.1.28-5.3                    | x86_64
i  | @System    | libselinux1                       | 3.5-4.3                       | x86_64
i  | @System    | libsemanage-conf                  | 3.5-2.3                       | x86_64
i  | @System    | libsemanage2                      | 3.5-2.3                       | x86_64
i  | @System    | libsepol2                         | 3.5-1.5                       | x86_64
i  | @System    | libsigc-2_0-0                     | 2.12.0-1.2                    | x86_64
i  | @System    | libsmartcols1                     | 2.39.1-3.3                    | x86_64
i  | @System    | libsolv-tools                     | 0.7.24-1.5                    | x86_64
i  | @System    | libsqlite3-0                      | 3.42.0-1.3                    | x86_64
i  | @System    | libssh-config                     | 0.10.5-2.2                    | x86_64
i  | @System    | libssh4                           | 0.10.5-2.2                    | x86_64
i  | @System    | libstdc++6                        | 13.2.1+git7683-1.3            | x86_64
